,statement,source,link,veracity
46,"""If Trump tries to lie in a TV ad, most networks will refuse to air it. But Facebook just cashes Trump’s checks.""",Elizabeth Warren,/truth-o-meter/statements/2019/oct/15/elizabeth-warren/phony-facebook-ad-warren-said-most-tv-networks-wil/,Mostly False
47,On whether Gov. Ralph Northam should resign.,Ghazala Hashmi,/virginia/statements/2019/oct/15/ghazala-hashmi/ghazela-hashmi-u-turns-call-gov-northams-resignati/,Full Flop
48,"Says Attorney General William Barr tweeted that the US ""gave Iran USA taxpayer dollars"" so Iran could purchase uranium from Russia.",Facebook posts,/facebook-fact-checks/statements/2019/oct/15/facebook-posts/no-barr-didnt-tweet-us-gave-iran-taxpayer-dollars-/,Pants on Fire!
49,"Says Fox News anchor Shepard Smith stepped down after Attorney General William Barr ""had a closed door meeting with Rupert Murdoch.""",The Other 98%,/punditfact/statements/2019/oct/14/other-98/theres-no-proof-barr-played-role-shepard-smiths-fo/,False
50,"As mayor of Newark, N.J., Cory Booker ""stole $600,000 from a city water authority and laundered it through his law firm.""",Roger Stone,/truth-o-meter/statements/2019/oct/14/roger-stone/old-roger-stone-video-about-cory-booker-has-gone-v/,False
51,"Says the Associated Press was wrong to report that ""Income Inequality grew to largest in 50 years"" because in a ""new Census report all four measures of income inequality SHRUNK, reversing rise over past five decades.""",Kevin Brady,/texas/statements/2019/oct/12/kevin-brady/income-inequality-growing-or-shrinking-united-stat/,Mostly False
52,Says George Soros’s son is married to Adam Schiff’s sister.,Viral image,/facebook-fact-checks/statements/2019/oct/11/viral-image/no-george-soross-son-isnt-married-adam-schiffs-sis/,Pants on Fire!
53,"""West Virginia Department of Education reported over 10,000 children and youth have been identified as homeless for the 2018-2019 school year.""",Joe Manchin,/west-virginia/statements/2019/oct/11/joe-manchin/how-many-west-virginia-students-are-homeless/,True
54,"Says Facebook now has a ""witch checker.""",Facebook posts,/facebook-fact-checks/statements/2019/oct/11/facebook-posts/viral-posts-about-facebook-witch-checker-just-bunc/,Pants on Fire!
55,"Says Nancy Pelosi diverted ""$2.4 billion from Social Security to cover impeachment costs.""",Viral image,/facebook-fact-checks/statements/2019/oct/11/viral-image/no-nancy-pelosi-didnt-divert-social-security-money/,Pants on Fire!
56,"Says the whistleblower hired ""left-wing lawyers, left-wing firms, Soros involved in funding all of them.""",Mark Levin,/punditfact/statements/2019/oct/11/mark-levin/fact-checking-claims-about-whistleblowers-legal-te/,Mostly False
57,Says the Obamas are connected to the Varsity Blues college admissions scandal.,Facebook posts,/facebook-fact-checks/statements/2019/oct/11/facebook-posts/no-obamas-have-nothing-do-varsity-blues-college-ad/,False
58,"""Fact: Joe Biden pressured Ukraine to fire its prosecutor .... Fact: the prosecutor said he was forced out for leading a corruption probe into Hunter Biden's company. Fact: Democrats want to impeach President Trump for discussing this investigation with Ukraine's President.""",Donald Trump,/truth-o-meter/statements/2019/oct/11/donald-trump/trump-ad-misleads-about-biden-ukraine-and-prosecut/,False
59,"Millionaires are eligible for food stamps, but ""Donald Trump came along and decided to put a stop to it.""",Glenn Grothman,/wisconsin/statements/2019/oct/11/glenn-grothman/wisconsin-lawmakers-claim-millionaires-are-eligibl/,True
60,"""Teachers in Chicago Public Schools are paid some of the highest compensation of any school system in the country.""",Lori Lightfoot,/illinois/statements/2019/oct/11/lori-lightfoot/are-chicago-public-school-teachers-among-nations-h/,Mostly False
61,"""About 95 percent of America’s production of ethylene is produced on the Gulf Coast in Texas and Louisiana.""",David McKinley,/west-virginia/statements/2019/oct/10/david-mckinley/fact-checking-ethylene-production-us/,True
62,"Says the sons of Nancy Pelosi, Mitt Romney and John Kerry are all on the boards of ""energy companies doing business in Ukraine.""",Facebook posts,/facebook-fact-checks/statements/2019/oct/10/facebook-posts/pelosi-romney-and-kerry-dont-have-sons-working-com/,False
63,"Says Republican Dan Bishop was ""down by 17"" points in NC congressional race and then won ""by a lot.""",Donald Trump,/north-carolina/statements/2019/oct/10/donald-trump/trump-wrong-about-north-carolina-congressional-ele/,False
64,"""Meth production in MO has cratered over last decade. MO Hwy Patrol reported 1,326 meth lab seizures in 2006, only 50 in 2018.""",Josh Hawley,/missouri/statements/2019/oct/10/josh-hawley/missouri-meth-use-hawley-right-lab-seizures-have-d/,True
65,"Says Nancy Pelosi’s ""legislative aide … is from the Ukraine and is connected to the Ukrainian Embassy, the Ukrainian military, the Ukrainian government and Ukrainian party life""",Facebook posts,/facebook-fact-checks/statements/2019/oct/09/facebook-posts/viral-rumor-about-pelosi-ukrainian-legislative-aid/,False
66,"""The first so-called second hand information ‘Whistleblower’ got my phone conversation almost completely wrong.""",Donald Trump,/truth-o-meter/statements/2019/oct/09/donald-trump/donald-trump-whistleblower-got-phone-call-almost-c/,Pants on Fire!
67,"""Republican policies have led to business investment growth that’s 10 times
faster than what we saw under President Obama.""",Ron Johnson,/wisconsin/statements/2019/oct/09/ron-johnson/wisconsin-gop-sen-ron-johnson-overreaches-economy-/,Mostly False
68,"Del. Danica Roem ""supported a controversial bill that would have allowed abortion up until the moment of birth.",Kelly McGinn,/virginia/statements/2019/oct/09/kelly-mcginn/kelly-mcginn-invents-position-danica-roem-abortion/,False
69,"""A study shows that households neighboring West Virginia could be on the hook for upwards of $70,000 in the first year alone under the Green New Deal!""",Shelley Moore Capito,/west-virginia/statements/2019/oct/08/shelley-moore-capito/could-west-virginians-be-out-70000-year-under-gree/,Mostly False
70,"Says Joe Biden ""said he never spoke to the Ukrainian company, and then the picture came out where he was playing golf with the company boss and Hunter"" Biden.",Donald Trump,/truth-o-meter/statements/2019/oct/08/donald-trump/trump-claims-photo-shows-bidens-playing-golf-ukrai/,False
71,"Minneapolis ""city government preemptively informed the Target Center that it would be responsible for $530,000 in security and other costs"" related to a Trump rally, ""more than 26 times the estimated security costs for a 2009 Target Center health care rally held by President Barack Obama.""",Donald Trump,/truth-o-meter/statements/2019/oct/08/donald-trump/trump-campaign-says-minneapolis-wants-charge-53000/,True
72,"Del. Debra Rodman ""opposes adoption as an alternative to abortion in event of unplanned pregnancies.""",Siobhan Dunnavant,/virginia/statements/2019/oct/08/siobhan-dunnavant/dunnavant-falsely-claims-rodman-favors-abortion-ov/,False
73,"""We have not spoken directly with the whistleblower.""",Adam Schiff,/truth-o-meter/statements/2019/oct/04/adam-schiff/adam-schiffs-false-claim-we-have-not-spoken-direct/,False
74,"Says Rep. Adam Schiff was ""complicit in EDITING AND COMPOSING THE ‘WHISTLEBLOWER COMPLAINT’ BEFORE IT WAS FILED.""",Facebook posts,/facebook-fact-checks/statements/2019/oct/04/facebook-posts/theres-no-evidence-schiff-helped-write-whistleblow/,False
75,"Says Monica Lewinsky tweeted that she's ""willing to take one for the team"" by engaging in oral sex with President Donald Trump because, ""Apparently that's the only thing that can convince Republicans to impeach.""",Facebook posts,/facebook-fact-checks/statements/2019/oct/04/facebook-posts/monica-lewinsky-didnt-say-she-would-engage-oral-se/,Pants on Fire!
76,"""50% of the DUIs on Interstate 35 are from illegals. Ninety percent of the 50% have absolutely no identification.""",Roger Williams,/texas/statements/2019/oct/04/roger-williams/are-half-those-arrested-dwis-i-35-unauthorized-imm/,Pants on Fire!
77,"Says ""90% of policemen are for"" expanding background checks to all gun sales.",Richard Durbin,/illinois/statements/2019/oct/04/richard-durbin/durbin-mostly-target-claim-about-police-support-ex/,Mostly True
78,"Universal background checks involve asking people ""to submit the serial numbers to their guns to a state or federal official,"" and that violates the Second Amendment.",Scott Fitzgerald,/wisconsin/statements/2019/oct/04/scott-fitzgerald/wisconsin-lawmaker-takes-aim-and-misses-claim-gun-/,Mostly False
79,"Quotes Thomas Jefferson as saying that ""freedom is lost gradually from uninterested, uninformed and uninvolved people.""",Facebook posts,/facebook-fact-checks/statements/2019/oct/04/facebook-posts/jefferson-didnt-say-freedom-lost-gradually-uninter/,False
80,Says the character Freddy Krueger was based on a real serial killer.,Facebook posts,/facebook-fact-checks/statements/2019/oct/04/facebook-posts/no-freddy-krueger-wasnt-based-real-serial-killer-d/,Pants on Fire!
81,"""We’re no longer the wealthiest middle class in the world.""",Joe Biden,/truth-o-meter/statements/2019/oct/04/joe-biden/us-middle-class-no-longer-leads-world-bidens-claim/,Mostly True
82,"""Barack Obama asked Ukraine to investigate his political rival's campaign manager, 3 Democrat senators asked Ukraine to investigate Trump, and the DNC solicited Ukraine's help to dig up dirt on Trump.""",Charlie Kirk,/punditfact/statements/2019/oct/03/charlie-kirk/fact-checking-charlie-kirks-misleading-tweet-about/,Mostly False
83,Red Bull contains bull sperm.,Viral image,/facebook-fact-checks/statements/2019/oct/03/viral-image/no-red-bull-doesnt-contain-bull-semen/,False
84,"""$575 billion cut from Medicare in Trump’s proposed 2020 budget.""",Florida Democratic Party,/florida/statements/2019/oct/03/florida-democratic-party/trump-visit-florida-state-democrats-mislead-about-/,Half-True
85,"""If the impeachment reaches the house and passes to the senate and isn’t passed the first term is nullified and Trump can run two more terms.""",Kaya Jones,/punditfact/statements/2019/oct/02/kaya-jones/donald-trump-third-term-failed-impeachment-would/,Pants on Fire!
86,"Since Israel started training teachers with guns, ""there have only been two school shootings in 44 years and both shooters were killed by teachers.""",Viral image,/facebook-fact-checks/statements/2019/oct/02/viral-image/security-guards-are-armed-israeli-schools-not-teac/,False
87,"Says a photo shows Beto O’Rourke ""in college drunk and pissing his pants.""",Viral image,/facebook-fact-checks/statements/2019/oct/02/viral-image/photo-philadelphia-musician-not-beto-orourke/,Pants on Fire!
88,"""The average bridge in Missouri is 48 years old — most were only designed to last for 50 years.""",Sam Graves,/missouri/statements/2019/oct/02/sam-graves/missouris-aging-bridges-are-problem-maybe-not-reas/,Mostly True
89,"Says in the 2016 presidential election, ""I won that one by 42 points -- 42 points -- West Virginia.""",Donald Trump,/west-virginia/statements/2019/oct/02/donald-trump/did-donald-trump-win-west-virginia-42-points-2016/,True
90,"Siobhan Dunnavant ""wrote the Republican bill that would let insurance companies deny coverage for pre-existing conditions.""",Rodman Debra,/virginia/statements/2019/oct/01/rodman-debra/rodman-misstates-dunnavants-short-term-health-insu/,False
91,"""More than half of death row prisoners are people of color.""",Gwen Moore,/wisconsin/statements/2019/oct/01/gwen-moore/state-lawmaker-hits-target-claim-racial-background/,True
92,"""Our WV highways rank 16th in the country in a national survey of highway systems, up 20 spots from last year’s ranking! This ranking affirms all the hard work we’ve done, and that we continue to do, fixing our state’s roads.""",Jim Justice,/west-virginia/statements/2019/oct/01/jim-justice/fact-checking-jim-justices-boast-about-wva-highway/,Half-True
93,"The United States is ""#1 in oil consumption"" in the world.",Richard Ojeda,/west-virginia/statements/2019/oct/01/richard-ojeda/does-united-states-rank-first-world-oil-consumptio/,Mostly True
94,Says Clint Eastwood is dead.,Bloggers,/facebook-fact-checks/statements/2019/oct/01/blog-posting/clint-eastwood-still-not-dead/,Pants on Fire!
95,"Says El Chapo ""stated in court"" that James Comey helped launder $150 million ""cartel money for Pelosi.""",Facebook posts,/facebook-fact-checks/statements/2019/oct/01/facebook-posts/no-el-chapo-didnt-testify-comey-laundered-150-mill/,Pants on Fire!
96,"""Longstanding whistleblower rules (were changed) just before submittal of the fake whistleblower report.""",Donald Trump,/truth-o-meter/statements/2019/oct/01/donald-trump/donald-trumps-false-claim-about-change-whistleblow/,False
97,"Says Pat McCrory ""shepherded in driver’s licenses for illegal aliens in the aftermath of the 9/11 terrorist attacks.""",Michelle Malkin,/north-carolina/statements/2019/sep/30/michelle-malkin/did-pat-mccrory-help-immigrants-get-drivers-licens/,Mostly False
98,"Says Republican Gov. Phil Scott ""just voted to impeach President Trump.""",Facebook posts,/facebook-fact-checks/statements/2019/sep/30/facebook-posts/no-vermonts-governor-did-not-vote-impeach-donald-t/,False
99,"""49% of all new income goes to the top 1%.""",Bernie Sanders,/illinois/statements/2019/sep/29/bernie-sanders/bernie-sanders-says-49-new-income-goes-top-1/,Mostly True
100,Says a photo shows Greta Thunberg posing next to George Soros and with ISIS.,Facebook posts,/facebook-fact-checks/statements/2019/sep/27/facebook-posts/greta-thunberg-did-not-pose-isis-or-george-soros/,False
101,"""In Congress, Elizabeth Warren introduced 110 bills. 2 passed. Cory Booker introduced 120 bills. 0 passed. Kamala Harris introduced 54 bills. 0 passed. Bernie Sanders never held a job until age 53. He lived off of welfare and four different women.""",Facebook posts,/facebook-fact-checks/statements/2019/sep/27/facebook-posts/social-media-posts-mislead-democratic-senators-rec/,False
102,"""For the first time in history, most new hires of prime working age are minorities and women.""",Donald Trump,/truth-o-meter/statements/2019/sep/27/donald-trump/fact-checking-trump-hiring-minorities-women/,Half-True
103,Says a photo of a woman with multiple bruises on her face is Democrat Keith Ellison’s girlfriend and he is responsible for her injuries.,Viral image,/facebook-fact-checks/statements/2019/sep/27/viral-image/no-badly-bruised-woman-photo-was-not-former-us-rep/,False
104,"The Green New Deal ""would put a $600,000 tax burden on every household.""",Republican Party of Florida,/florida/statements/2019/sep/27/republican-party-florida/gop-talking-point-green-new-deal-will-cost-every-h/,False
105,"Says Gov. Tony Evers vetoed a school computer program, ""saying it would be better spent in urban districts like Madison and Milwaukee.""",Rob Swearingen,/wisconsin/statements/2019/sep/27/rob-swearingen/state-rep-exaggerates-claim-gov-tony-evers-veto-sc/,False
106,A photograph shows a woman doing cocaine with a child.,Viral image,/facebook-fact-checks/statements/2019/sep/26/viral-image/no-woman-isnt-snorting-cocaine-child/,Pants on Fire!
107,Says Andy Rooney wrote a long commentary defending prayer and Christianity in the United States.,Viral image,/facebook-fact-checks/statements/2019/sep/26/viral-image/texas-sports-editor-wrote-column-christianity-and-/,False
108,"""Women’s unemployment has been lower under President Trump than it’s been in nearly 70 years.""",West Virginia Republican Party,/west-virginia/statements/2019/sep/26/west-virginia-republican-party/unemployment-women-lowest-point-almost-70-years/,Mostly True
109,"Says Marcus Aurelius said, ""Everything we hear is an opinion, not a fact. Everything we see is a perspective, not the truth.""",Viral image,/facebook-fact-checks/statements/2019/sep/26/viral-image/no-marcus-aurelius-didnt-say-about-opinions-and-fa/,False
110,"Says getting up too quickly in the middle of the night can cause ""sudden death.""",Viral image,/facebook-fact-checks/statements/2019/sep/26/viral-image/sitting-too-quickly-middle-night-might-make-you-di/,False
111,"""A lot of people are talking about"" the removal of a ""very fair prosecutor"" in Ukraine.",Donald Trump,/truth-o-meter/statements/2019/sep/26/donald-trump/donald-trumps-boasts-about-former-ukrainian-prosec/,False
112,Says a photo shows a dog who has slept by his master’s grave every night for seven years.,Viral image,/facebook-fact-checks/statements/2019/sep/26/viral-image/dog-named-capitan-known-sleeping-his-owners-grave-/,False
113,"Says Saddam Hussein said, ""We cannot defeat America by the sword. America must be defeated within their politics.""",Viral image,/facebook-fact-checks/statements/2019/sep/26/viral-image/no-evidence-saddam-hussein-said-about-american-pol/,False
114,Says police are warning shoppers to use wipes to clean their carts over deadly risk of fentanyl residue.,Facebook posts,/facebook-fact-checks/statements/2019/sep/26/facebook-posts/no-police-arent-warning-shoppers-use-wipes-carts-o/,False
115,"""80% of the world’s population lives in countries where religious liberty is in significant danger or even completely outlawed.""",Donald Trump,/truth-o-meter/statements/2019/sep/25/donald-trump/donald-trumps-flawed-stat-threats-religious-freedo/,Half-True
116,"""Every time we go to court,"" against the Trump administration, ""for the most part, we win.""",Xavier Becerra,/california/statements/2019/sep/25/xavier-becerra/california-really-winning-court-against-trump-admi/,Mostly True
117,"""Europe and other nations (need to) contribute to Ukraine. Because they’re not doing it. Just the United States. We’re putting up the bulk of the money.""",Donald Trump,/truth-o-meter/statements/2019/sep/25/donald-trump/donald-trump-said-european-nations-have-not-put-mo/,Mostly False
118,"""ICE has not deported or detained one white illegal immigrant.""",Facebook posts,/facebook-fact-checks/statements/2019/sep/24/facebook-posts/facebook-post-makes-inaccurate-claim-about-deporta/,False
119,Says a photo shows that climate change protesters left trash all over their protest side.,Facebook posts,/facebook-fact-checks/statements/2019/sep/24/facebook-posts/photo-doesnt-show-trash-left-climate-strike-protes/,False
120,"Says an 11-year-old girl shot and killed two armed ""illegal aliens"" after they broke into her home in Montana.",Facebook posts,/facebook-fact-checks/statements/2019/sep/24/facebook-posts/no-story-about-11-year-old-girl-who-shot-two-illeg/,Pants on Fire!
121,"Kirk ""Cox joined special interests to deny teachers raises.""",Sheila Bynum-Coleman,/virginia/statements/2019/sep/24/sheila-bynum-coleman/contrary-bynum-coleman-cox-has-steadily-backed-tea/,Pants on Fire!
122,"""Under @BarackObama illegal immigration dropped to a 50-year low.""",Nathan McMurray,/new-york/statements/2019/sep/23/nathan-mcmurray/mcmurrays-illegal-immigration-claim-only-part-stor/,Mostly False
123,"Quotes Winston Churchill as saying ""Diplomacy is the art of telling people to go to hell in such a way that they ask for directions.""",Bloggers,/facebook-fact-checks/statements/2019/sep/20/blog-posting/no-evidence-churchill-said-quote-about-diplomacy-b/,False
124,"""You can have an active warrant for your arrest for murder and legally pass a background check system in the state of Texas"" to purchase a gun.",Gina Hinojosa,/texas/statements/2019/sep/20/gina-hinojosa/can-you-have-outstanding-arrest-warrant-murder-and/,Mostly True
125,"Says Trump told Fox News ""the Democrats can subpoena me and my administration for the next 10, 15, 20 years and we will never capitulate. They need to face the fact that I am in charge, this is my country and I will do as I please, they have no control over me. The people support me and will always support me.""",Viral image,/facebook-fact-checks/statements/2019/sep/20/viral-image/photoshopped-fox-news-broadcast-screenshot-trump-i/,Pants on Fire!
126,"""There are 1,600 new coal-fired power plants being constructed as I speak around the world.""",Cecil Roberts,/west-virginia/statements/2019/sep/20/cecil-roberts/are-1600-new-coal-fired-power-plants-being-constru/,Mostly False
127,"""Statistics indicate Americans have experienced 29.3 (billion) illegal robocalls so far this year, marking a 64 percent increase since 2016.""",Vicky Hartzler,/missouri/statements/2019/sep/20/vicky-hartzler/how-many-robocalls-do-americans-get-each-year-its-/,Mostly False
