,statement,source,year,veracity
1_17,"By clicking on a link from a fake USPS text message, “you are sending your precise location to sex traffickers in your local area” so they can kidnap you.",Facebook posts,"stated on April 19, 2021 in a Facebook post:",false
1_18,"Says Joe Biden said, “This country is doomed, not just because of African Americans, but because by 2040 this country is going to be minority white European.""",Instagram posts,"stated on April 22, 2021 in an Instagram post:",false
1_19,Derek Chauvin’s attorney said that space aliens “inhabited the body of Derek Chauvin and caused this death.”,TikTok posts,"stated on April 21, 2021 in a TikTok video:",false
1_20,“Black Lives Matter and antifa set Catholic church on fire in Minneapolis.”,Instagram posts,"stated on April 20, 2021 in an Instagram post:",false
1_21,“Foot Locker donated 200 million dollars to BLM.”,Facebook posts,"stated on April 12, 2021 in a Facebook post:",false
1_22,“Jay-Z and Beyonce are buying back DMX’s masters for $10 Million and giving to his kids for free.”,Facebook posts,"stated on April 11, 2021 in Facebook post:",pants-fire
1_23,Says Raphael Warnock supports boycotts of Georgia to protest voting law.,National Republican Senatorial Committee,"stated on April 9, 2021 in an online ad:",false
1_24,“We have encountered the largest surge of migrants (at the southern border) in the last 20 years.”,Glenn Grothman,"stated on March 24, 2021 in Twitter:",barely-true
1_25,Says Officer Derek Chauvin’s knee was “not on neck of George Floyd.”,Instagram posts,"stated on April 8, 2021 in an Instagram post:",false
1_26,"“You go to a gun show, you can buy whatever you want, and no background check.""",Joe Biden,"stated on April 8, 2021 in a speech:",barely-true
1_27,Says Georgia “has more day-of voting rights than Colorado.”,Tim Scott,"stated on April 6, 2021 in a tweet:",barely-true
1_28,"""Over the past decade, drug prices have risen at three times the rate of inflation.""",Tammy Baldwin,"stated on March 23, 2021 in News release:",half-true
1_29,"“Pete Buttigieg’s dog and pony show. He gets out of [the] car to ride his bike a few feet, pretending to save energy.”",Facebook posts,"stated on April 3, 2021 in a Facebook post:",false
2_0,"“As of today, no one has the right to film or photograph Mr. Biden as he climbs the flight of stairs. New White House spokesman orders!!?”",TikTok posts,"stated on April 1, 2021 in a TikTok video:",pants-fire
2_1,Says Joe Biden’s infrastructure plan “is the Green New Deal.”,Citizens United,"stated on March 31, 2021 in a tweet:",barely-true
2_2,“The tax deadline is April 18th. Do your taxes soon.”,Viral image,"stated on March 29, 2018 in a Facebook post:",false
2_3,Calls COVID-19 vaccine a “non-FDA-approved experimental agent.”,Instagram posts,"stated on March 30, 2021 in an Instagram post:",barely-true
2_4,U.S. Rep. Matt Gaetz was the lone vote in the House against an anti-human trafficking bill.,Facebook posts,"stated on March 30, 2021 in a Facebook post:",true
2_5,Georgia’s new voting law “makes it a JAIL-TIME CRIME to drop off grandma’s absentee ballot in a dropbox.”,Facebook posts,"stated on March 29, 2021 in a Facebook post:",false
2_6,"Says Deborah Birx “traveled a great distance to see her family for Thanksgiving, only to have them call the police and turn her in. She then ... resigned.”",Donald Trump,"stated on March 29, 2021 in a statement given to the press:",half-true
2_7,"Says Jimmy Kimmel, Jimmy Fallon and Stephen Colbert are “still not doing Biden jokes.""",Facebook posts,"stated on March 25, 2021 in a Facebook post:",false
2_8,A Georgia law has not “criminalized giving people bottles of water.” It pertains to political organizations.,Josh Holmes,"stated on March 28, 2021 in an interview on Fox News Sunday:",barely-true
2_9,"The Democratic clean energy plan is pro-China, because ""90% of the solar panels, 80% of the wind machines, 90% of the rare earth minerals … are in Asia or in China.”",Cathy McMorris Rodgers,"stated on March 18, 2021 in a House hearing:",half-true
2_10,“Republicans recently passed a bill to eliminate early voting on Sunday” in Georgia,Charles Schumer,"stated on March 24, 2021 in a Senate hearing:",barely-true
2_11,"The latest stimulus package ""sends stimulus checks to imprisoned murderers, rapists, and child molesters.”",Julian Bradley,"stated on March 15, 2021 in news article:",mostly-true
2_12,"“Right now, two-thirds of the U.S. Senate is composed of millionaires.”",Tom Nelson,"stated on March 7, 2021 in TV interview:",mostly-true
2_13,"""We proudly handed the Biden administration the most secure border in history. All they had to do was keep this smooth-running system on autopilot.”",Donald Trump,"stated on March 21, 2021 in a statement to the media:",barely-true
2_14,These 11 mass shootings involved an AR-15-style weapon.,Viral image,"stated on March 22, 2021 in a tweet:",mostly-true
2_15,“Democrats have accomplished a lot in just 2 months ... 1 Million energy jobs destroyed.”,Kevin McCarthy,"stated on March 14, 2021 in an interview on Fox News:",pants-fire
2_16,"The COVID economic relief package “included $600 million for San Francisco, part of which goes to cover the tab for free alcohol and marijuana for the homeless.""",Kevin McCarthy,"stated on March 14, 2021 in a tweet:",false
2_17,“Schumer and Pelosi sneak funding into COVID bill.”,Bloggers,"stated on March 8, 2021 in a post on Trending Politics:",false
2_18,“Senate Democrats just voted to give stimulus checks to criminals in prison.”,Tom Cotton,"stated on March 6, 2021 in a tweet:",mostly-true
2_19,"In rejecting his amendment, “Democrats voted to send reopening money to schools that refuse to reopen.”",Marco Rubio,"stated on March 6, 2021 in a tweet:",half-true
2_20,"Says Donald Trump will be re-inaugurated as president on March 4, 2021.",Facebook posts,"stated on February 23, 2021 in Facebook posts:",pants-fire
2_21,HR 1 “automatically registers every welfare recipient to vote.”,Donald Trump,"stated on February 28, 2021 in a speech at CPAC:",barely-true
2_22,"The $1.9 trillion relief package is “about a bridge for Chuck Schumer, a tunnel for Nancy Pelosi.”",Rick Scott,"stated on March 1, 2021 in an interview with CBS News:",barely-true
2_23,Says the American Civil Liberties Union opposes H.R. 1 on grounds that “it threatens our freedom of speech.”,Ronna McDaniel,"stated on February 22, 2021 in a tweet:",half-true
2_24,"In the American Rescue Plan, “just about 1% of the money is for vaccines.”",Mitch McConnell,"stated on February 24, 2021 in a Senate floor speech:",mostly-true
2_25,“We’re the only major gas-producing state in the US that doesn’t have a severance tax.”,Tom  Wolf,"stated on February 22, 2021 in a speech:",true
2_26,Nancy Pelosi explains how Democrats demonize political opponents through the “wrap-up smear.”,YouTube videos,"stated on January 25, 2021 in YouTube videos:",pants-fire
2_27,“Joe Biden is handing our power grid to the Chinese Communist Party.”,Students for Trump,"stated on February 16, 2021 in a Tweet:",false
2_28,“There's over a trillion dollars of money unspent from previous (coronavirus) relief bills ... still sitting in a bank account.”,Steve Scalise,"stated on February 21, 2021 in an interview on ABC News' This Week:",half-true
2_29,"“The vast majority of the American people” support Biden’s $1.9 trillion rescue plan, “including a majority of Republicans.”",Joe Biden,"stated on February 19, 2021 in a speech:",half-true
3_0,"Donald Trump's second impeachment ""cost $33 million.""",Facebook posts,"stated on February 13, 2021 in a text post:",false
3_1,"“There is a consensus among economists left, right, and center… that we can’t spend too much” on COVID-19 relief.",Joe Biden,"stated on February 16, 2021 in a CNN town hall in Milwaukee.:",barely-true
3_2,"After the Capitol insurrection, “one of the first people arrested was a leader of antifa.""",Michael van der Veen,"stated on February 12, 2021 in a speech at the U.S. Senate:",barely-true
3_3,"“If you're making less than $15 an hour, you're living below the poverty wage.”",Joe Biden,"stated on February 5, 2021 in an interview on CBS:",half-true
3_4,"“Biden’s Air Force One is not the same as Trump’s Air Force One,” which indicates Biden is not the real president.",Facebook posts,"stated on February 6, 2021 in Facebook posts:",pants-fire
3_5,"Says Rep. Brian Fitzpatrick, R-Pa., “stood with Trump and the lies… He stood with QAnon, not you.”",DCCC,"stated on February 2, 2021 in an attack ad:",barely-true
3_6,"States are seeing increases in revenue, with an average decline of just 0.12% compared with 2019. Over half of states report positive growth, including California, New York, and Illinois.",Rick Scott,"stated on February 1, 2021 in a press release:",barely-true
3_7,“Donald Trump is the first president in modern history (who) did not start a new war.”,Donald Trump Jr.,"stated on January 22, 2021 in a tweet:",barely-true
3_8,“The Biden administration lost 20 million COVID vaccines.”,Ryan Fournier,"stated on January 31, 2021 in a Tweet:",false
3_9,Masks have negative impacts on 68% of children.,Instagram posts,"stated on January 26, 2021 in an Instagram post:",false
3_10,“84% of all new electric capacity planned to come onto the electric grid this year is clean energy.”,Joe Biden,"stated on January 27, 2021 in remarks when signing climate change executive orders:",mostly-true
3_11,Says Joe Biden is “following through with a fracking ban.”,Facebook posts,"stated on January 25, 2021 in an image:",barely-true
3_12,"""Joe Biden admits he is governing like a 'dictator.'""",Charlie Kirk,"stated on January 26, 2021 in an Instagram post:",false
3_13,"""The process to distribute the vaccine, particularly outside of nursing homes and hospitals out into the community as a whole, did not really exist when we came into the White House.""",Ron Klain,"stated on January 24, 2021 in an interview on Meet the Press:",barely-true
3_14,"“I believe, without having definitive proof, that the military is in charge of our country ... because Joe Biden is an illegal president.”",L. Lin Wood,"stated on January 25, 2021 in an interview with the Patriotically Correct Radio Show:",pants-fire
3_15,"The Paris Climate Agreement is “bad for America,” because it ""does nothing to hold real polluters, like Communist China and India, accountable.""",Rick Scott,"stated on January 20, 2021 in a statement given to the press:",barely-true
3_16,"Joe Biden was sworn in on a ""Masonic/Illuminati Bible.""",Facebook posts,"stated on January 21, 2021 in a series of images:",pants-fire
3_17,"A majority of Americans have voted for a party that … wants a world in which you cannot call your parents mom and dad.""",Glenn Grothman,"stated on January 4, 2021 in News release:",false
3_18,"On Inauguration Day, Vice President Kamala Harris “put her clutch on top of the Bible so her hand is not touching it.”",Facebook posts,"stated on January 21, 2021 in an image:",pants-fire
3_19,"Says Biden had to take a private plane to D.C. instead of a government plane “because they know he’s not a legitimate president” and ""the military is now responsible for restoring legitimate civilian government.”",Facebook posts,"stated on January 20, 2021 in a Facebook post:",false
3_20,“There will be several thousand dollars in payments going to families with six-figure incomes who’ve had no income interruption whatsoever.”,Pat Toomey,"stated on January 19, 2021 in a hearing:",true
3_21,"""China was behind the interference and the effort to overthrow our government and the election, election fraud.""",L. Lin Wood,"stated on January 18, 2021 in an interview with the Patriotically Correct Radio Show:",false
3_22,President Donald Trump “can’t say anything (about the U.S. Capitol riot) because the platforms have removed him.”,Hogan Gidley,"stated on January 17, 2021 in a Fox News interview:",false
3_23,A video shows Joe Biden lost and confused on stage.,Donald Trump Jr.,"stated on January 17, 2021 in a tweeted video:",pants-fire
3_24,"Says Gen. David H. Berger, commandant of the U.S. Marine Corps., refused Nancy Pelosi’s request to use the Marines for inauguration security, telling her “we don’t work for you.”",Bloggers,"stated on January 13, 2021 in a story:",false
3_25,Says unproven voter fraud claims didn’t play “any role” in the Capitol riot.,Jake Corman,"stated on January 14, 2021 in an interview:",pants-fire
3_26,"“Inauguration Cancelled, Trump Remains in Office.”",Facebook posts,"stated on January 15, 2021 in a headline:",pants-fire
3_27,Antifa provoked the shooting of Ashli Babbitt at the Capitol.,Bloggers,"stated on January 12, 2021 in blogs:",pants-fire
3_28,Says President Trump has ordered the military to take over “major corrupt cities” to stay in office and that U.S. citizens will receive emergency alerts on their devices.,Facebook posts,"stated on January 13, 2021 in a Facebook post:",pants-fire
3_29,"“The U.S. Department of State … released a statement on their website stating that Donald J. Trump's term ended” on Jan. 11, 2021.",Facebook posts,"stated on January 11, 2021 in a Facebook post:",barely-true
4_0,"Summer “protesters outside the White House were met with tear gas, rubber bullets, a full militarized response. While ... rioters were able to breach the Capitol.”",Sherrod Brown,"stated on January 8, 2021 in an interview with Ohio reporters:",true
4_1,"""Trump signs Insurrection Act - General Flynn to be appointed vice president.""",Bloggers,"stated on January 10, 2021 in a story:",false
4_2,Says left-wing activist John Sullivan “incited (the) insurgence of (the) US Capitol.”,Facebook posts,"stated on January 7, 2021 in a Facebook post:",barely-true
4_3,A man who stormed the U.S. Capitol in a horned fur cap is an “Antifa thug.”,Facebook posts,"stated on January 6, 2021 in a Facebook post:",pants-fire
4_4,"""We won. We won in a landslide. This was a landslide.”",Donald Trump,"stated on January 6, 2021 in a speech on the Ellipse outside the White House:",pants-fire
4_5,“The Vice President has the power to reject fraudulently chosen electors.”,Donald Trump,"stated on January 5, 2021 in a tweet:",false
4_6,On whether he’ll object to the Electoral College results,Ron Johnson,"stated on January 4, 2021 in media interviews:",full-flop
4_7,"“You had (4,925) out-of-state voters… in Georgia.”",Donald Trump,"stated on January 2, 2021 in a phone call with Georgia's Secretary of State:",false
4_8,"After a “major water main break,” Georgia election workers counted “18,000 ballots, all for Biden” that they pulled from suitcases and with no election observers present.",Donald Trump,"stated on January 2, 2021 in a phone call with the George secretary of state:",pants-fire
4_9,"“In my state, as in many other states, we have governors who are closing down businesses again.”",Pat Toomey,"stated on December 27, 2020 in an interview:",true
4_10,Says “Dr. Fauci lied about masks in March.”,Marco Rubio,"stated on December 27, 2020 in a tweet:",false
4_11,“21% of people are having serious adverse events from (the Moderna) vaccine.”,Bloggers,"stated on December 6, 2020 in a video shared on Facebook:",false
4_12,A 2018 executive order gives Trump the ability to impose martial law,Facebook posts,"stated on December 15, 2020 in Facebook posts:",pants-fire
4_13,"“Tens and tens of thousands of bridges are in disrepair, some on the verge of collapse.”",Joe Biden,"stated on December 16, 2020 in a transportation secretary announcement:",half-true
4_14,"“6 states will cast their (electoral) votes for Trump AND for Biden,” which will lead to a second Trump term.",Instagram posts,"stated on December 15, 2020 in an Instagram post:",false
4_15,"“Supreme Court Shakes Up 2020 Election, Assigns Conservatives To Swing State Circuit Courts.”",GOP Daily Brief,"stated on November 23, 2020 in a story:",barely-true
4_16,“Americans are paying the highest price in the world for Remdesivir because the Trump administration is allowing Gilead Sciences to jack up the prices on this #COVID19 treatment.”,Tammy Baldwin,"stated on November 19, 2020 in Twitter:",half-true
4_17,Dominion and Smartmatic “have closed up shop” and executives are “on the run.”,Facebook posts,"stated on November 21, 2020 in a post:",false
4_18,Democrats “spent 4 years refusing to acknowledge Trump’s 2016 victory.”,Jody Hice,"stated on November 12, 2020 in a tweet:",false
4_19,"“In certain swing states, there were more votes than people who voted, and in big numbers.”",Donald Trump,"stated on November 22, 2020 in a tweet:",pants-fire
4_20,"“Smartmatic and Dominion systems ... were built to do this very thing, for changing the results of elections.”",Sidney Powell,"stated on November 16, 2020 in an interview with Mark Levin:",pants-fire
4_21,The law governing the transition of presidential power “doesn’t require there to be an absolute winner. It says the ‘apparent' winner.”,Joe Biden,"stated on November 18, 2020 in a roundtable with healthcare workers:",mostly-true
4_22,A 1993 example of voter fraud in Philadelphia is “exactly what happened to us” in the 2020 election.,Donald Trump,"stated on November 13, 2020 in a tweet:",pants-fire
4_23,"""Big victory moments ago in the State of Nevada. The all Democrat County Commissioner race, on same ballot as President, just thrown out because of large scale voter discrepancy.""",Donald Trump,"stated on November 16, 2020 in a tweet:",false
4_24,"“The recent statement by Chris Krebs on the security of the 2020 Election was highly inaccurate, in that there were massive improprieties and fraud.""",Donald Trump,"stated on November 17, 2020 in a Tweet:",pants-fire
4_25,“The MOB in PA was HIRED by the Biden team to create fake ballots by the thousands!!”,Facebook posts,"stated on November 17, 2020 in a Live video:",pants-fire
4_26,“Michigan just refused to certify the election results!”,Donald Trump,"stated on November 18, 2020 in a tweet:",false
4_27,Says Georgia’s secretary of state won’t let the people recounting ballots check the signatures for fraud.,Donald Trump,"stated on November 17, 2020 in a fundraising email:",pants-fire
4_28,“These are real to date pictures taken during the Million (MAGA) March 2020.”,Facebook posts,"stated on November 14, 2020 in a series of photos:",false
4_29,"“More than one MILLION marchers for President @realDonaldTrump descend on” Washington, D.C., on Nov. 14.",Kayleigh McEnany,"stated on November 14, 2020 in a tweet:",false
5_0,"Says there were “600,000 plus unlawful votes in Philly and Pitt.”",Rudy Giuliani,"stated on November 11, 2020 in a tweet:",pants-fire
5_1,"""Across the state the rejection rate for ballots went way down” in the Nov. 3 election.",Ben Wikler,"stated on November 8, 2020 in TV interview:",barely-true
5_2,“Pennsylvania and Michigan didn’t allow our poll watchers and/or vote observers to watch or observe.”,Donald Trump,"stated on November 11, 2020 in a tweet:",pants-fire
5_3,Dominion Voting Systems “deleted 2.7 million Trump votes nationwide.”,Donald Trump,"stated on November 12, 2020 in a tweet:",pants-fire
5_4,"""The real electoral map"" shows Donald Trump leading Joe Biden in electoral votes.",Facebook posts,"stated on November 11, 2020 in an image:",false
5_5,A CNN video shows “HAMMER / Scorecard Voter Software Fraud in Real Time”,Pamela Geller,"stated on November 9, 2020 in a post on the Geller Report:",pants-fire
5_6,“Joe Biden is no longer the President-elect according to RealClearPolitics.”,Instagram posts,"stated on November 9, 2020 in a screenshot:",false
5_7,Siri gave “CONFIRMATION of the Democrats' sinister plan to REMOVE Sleepy Joe immediately using the 25th Amendment and instate Kamala Harris as President!”,Facebook posts,"stated on November 9, 2020 in a series of videos:",pants-fire
5_8,Says Nancy Pelosi has “suspicious ties” to a voting software company that was involved in glitches that favored Joe Biden.,Bloggers,"stated on November 6, 2020 in a blog post:",barely-true
5_9,"“If you count the legal votes, I easily win. If you count the illegal votes, they can try to steal the election from us.”",Donald Trump,"stated on November 5, 2020 in a White House speech:",pants-fire
5_10,“USPS failed to deliver 27% of mail-in ballots in South Florida”,Bloggers,"stated on November 4, 2020 in a Facebook post:",pants-fire
5_11,"“When large numbers of people in Butler (Pa.) started killing themselves with narcotics, no one in Washington or New York or Los Angeles said a word about it.”",Tucker Carlson,"stated on November 2, 2020 in a Fox News broadcast:",barely-true
5_12,"""Six states can't get the votes counted. Six states in which @realDonaldTrump is leading. Six states where Dems are in charge.""",Facebook posts,"stated on November 4, 2020 in a screenshot:",false
5_13,"Six states ""decided to stop counting"" votes as Donald Trump was ""headed for a win” on election night.",Facebook posts,"stated on November 4, 2020 in an image:",false
5_14,"“Only sign outside Bucks County voting place. Democrats shown, republicans blurred out. … More scamming in Pennsylvania!”",Tweets,"stated on November 3, 2020 in a tweet:",false
5_15,"“If Biden wins the election, there are people out there planning on mass murdering poc and lbgtq+ people. Please stay inside during the election and a few days after.”",Facebook posts,"stated on November 2, 2020 in a series of images and screenshots:",false
5_16,"""Deep RED cities are not boarding up"" and the National Guard is ""not being called in, in case Biden wins.""",Instagram posts,"stated on November 2, 2020 in an image:",false
5_17,"“Joe Biden and Kamala Harris’ government-run health care plan… could lead to hospitals being closed, put Medicare coverage at risk, and give benefits to illegal immigrants.”",Donald Trump,"stated on October 28, 2020 in a TV ad:",barely-true
5_18,"“Our doctors get more money if somebody dies from COVID. … So what they do is they say, ‘I'm sorry, but, you know, everybody dies of COVID.’""",Donald Trump,"stated on October 30, 2020 in a campaign rally in Waterford, Mich.:",false
5_19,James Biden “built the cages” and “(the Bidens) made millions from it.”,TikTok posts,"stated on October 27, 2020 in a Tiktok post:",pants-fire
5_20,"""I’ve released 22 years of my tax returns. You can go online and look. (Donald Trump) hasn’t released one.”",Joe Biden,"stated on October 31, 2020 in a rally:",true
5_21,"Says Joni Ernst ""supports the lawsuit that's headed to the Supreme Court that will” repeal the Affordable Care Act.",Theresa Greenfield,"stated on October 22, 2020 in a tweet:",half-true
5_22,“Nobody's ever seen a number like this… (33.1%) economic growth is four times greater than what the experts expected.”,Donald Trump,"stated on October 29, 2020 in a rally in Tampa, Fla.:",half-true
5_23,“Major decision protecting voting rights in Pa. Ballots received after Election Day will not be counted.”,Justin Clark,"stated on October 28, 2020 in a tweet:",barely-true
5_24,"“When asked about court-packing, Biden's staff immediately escorts the camera out.”",Donald Trump,"stated on October 26, 2020 in a YouTube video:",false
5_25,An “anti-Black Lives Matter” flag replaced the American flag behind President Trump during a Waukesha campaign rally.,Facebook posts,"stated on October 24, 2020 in Facebook post:",mostly-true
5_26,“Joe Biden confirmed his plan to abolish the entire U.S. oil industry.”,Donald Trump,"stated on October 26, 2020 in a rally:",false
5_27,"“President Obama would never give them long-term funding, and I did … I saved historically Black colleges and universities.”",Donald Trump,"stated on October 22, 2020 in the final 2020 presidential debate:",barely-true
5_28,“More suicide deaths than coronavirus death past two months.”,Tom Brady,"stated on October 27, 2020 in an Instagram post:",false
5_29,Says Hunter Biden “died of a crack overdose.”,Facebook posts,"stated on October 25, 2020 in a text post:",false
6_0,“Biden admits to voter fraud.”,Kayleigh McEnany,"stated on October 24, 2020 in a tweet:",false
6_1,"""The daughter of Sen. Coons (D-DE), along with 7 other underaged girls are featured on Hunter's laptop! - Breitbart News""",Facebook posts,"stated on October 24, 2020 in a text post:",false
6_2,"""We have a mayor in D.C. who formed a commission with recommendations. Her recommendation is: Take down the Washington Monument, close up the Lincoln Monument.""",Donald Trump,"stated on October 24, 2020 in a campaign rally:",barely-true
6_3,A photo shows Barack Obama in front of “cages” built during his administration to hold migrants.,Viral image,"stated on October 23, 2020 in an image on Facebook:",half-true
6_4,"""Biden slipped up and came out saying he’s going to tax your 401k. Are any of you EVEN paying attention?""",Facebook posts,"stated on October 19, 2020 in a post on Facebook:",false
6_5,Says Joe Biden had an iPad at his podium during the debate.,Facebook posts,"stated on October 22, 2020 in a post on Facebook:",false
6_6,"As part of the Obama administration's criminal justice reforms, “38,000 prisoners were released from federal prison.”",Joe Biden,"stated on October 22, 2020 in the final 2020 presidential debate:",barely-true
6_7,Says Donald Trump said “good” during the final presidential debate in reference to families being separated at the border.,Facebook posts,"stated on October 23, 2020 in an image:",false
6_8,Pennsylvania “never opened.”,Donald Trump,"stated on October 20, 2020 in a rally:",false
6_9,The “3 red stripes” in Joe Biden’s campaign logo refer to a Chinese socialist slogan.,Facebook posts,"stated on October 20, 2020 in an image:",pants-fire
6_10,“Phony” ballots “were printed without my name on it.”,Donald Trump,"stated on October 20, 2020 in a rally in Erie, Pa.:",barely-true
6_11,Says Joe Biden repeatedly told Americans he's going to raise their taxes.,Donald Trump,"stated on October 21, 2020 in an ad:",false
6_12,"“Hunter Biden was chairman of the World Food Program, which just won the Nobel Peace Prize. Eric Trump, Donald J Trump Jr, Ivanka Trump are banned from ever operating a charity again because they stole donations to children with cancer.""",Left Action,"stated on October 20, 2020 in a Facebook post:",false
6_13,Photo shows Joe Biden next to a man seen in a sex sting video.,Facebook posts,"stated on October 5, 2020 in a Facebook post:",pants-fire
6_14,“The boilermakers union has endorsed me because I sat down with them and went into great detail with leadership [about] exactly what I would do.”,Joe Biden,"stated on October 15, 2020 in a town hall:",false
6_15,"Says ""David Schweikert took over $120,000 from the drug industry and voted against legislation to lower prescription drug prices.""",  AFSCME,"stated on October 7, 2020 in a Facebook ad:",mostly-true
6_16,“Federal law requires people to speak English to be naturalized as American citizens.”,Facebook posts,"stated on May 30, 2020 in a post:",mostly-true
6_17,A photo shows a massive crowd at a recent Florida rally for Donald Trump.,Facebook posts,"stated on October 16, 2020 in a post:",false
6_18,Says Nancy Pelosi was photographed with the Manson Family.,Facebook posts,"stated on October 13, 2020 in a post on social media:",pants-fire
6_19,“BREAKING NEWS: All Charges Dropped for Kyle Rittenhouse.”,Facebook posts,"stated on October 13, 2020 in Facebook post:",false
6_20,Says Joe Biden is a socialist.,Donald Trump,"stated on September 30, 2020 in a rally:",false
6_21,“We’re putting our great coal miners back to work.”,Donald Trump,"stated on October 13, 2020 in a speech:",barely-true
6_22,"“With regard to hurricanes, the National Oceanic (and Atmospheric) Administration tells us that actually, as difficult as they are, there are no more hurricanes today than there were 100 years ago.”",Mike Pence,"stated on October 7, 2020 in a debate:",half-true
6_23,Says Joe Biden called for a jihad in a video.,The Gateway Pundit,"stated on October 9, 2020 in a story:",false
6_24,"During the debate, Kamala Harris said, “that’s a great segway to the next question,” suggesting she knew the next question.",Facebook posts,"stated on October 8, 2020 in a Facebook post:",barely-true
6_25,"Says Dr. Anthony Fauci said of Trump’s pandemic response, “I can’t imagine that … anybody could be doing more.”",Donald Trump,"stated on October 10, 2020 in a campaign ad:",barely-true
6_26,"""If Biden becomes president and cannot complete his term, Harris will become president, and Pelosi will become vice president.""",Facebook posts,"stated on October 9, 2020 in a post on Facebook:",false
6_27,"During the debate, Kamala Harris said President Donald Trump “did not appoint minorities to the courts.”",Republican Party of Florida,"stated on October 8, 2020 in a tweet:",false
6_28,"Says the U.S. House’s COVID-19 relief bill, advanced by Democrats, “strips states of their right to administer elections.”",Glenn Grothman,"stated on October 4, 2020 in Newsletter:",false
6_29,Says Joe Biden is proposing a tax increase that’s “the largest in American history.”,Preserve America PAC,"stated on October 1, 2020 in a campaign ad:",false
7_0,"“Many people every year, sometimes over 100,000, and despite the vaccine, die from the flu … we are learning to live with Covid, in most populations far less lethal.""",Donald Trump,"stated on October 6, 2020 in a tweet:",false
7_1,Says Joe Biden stays in his basement.,Jason MIller,"stated on October 4, 2020 in comments on ABC's ""This Week"":",false
7_2,President Barack Obama and Vice President Joe Biden “left me 128 judges to fill. You just don’t do that.”,Donald Trump,"stated on September 29, 2020 in the first 2020 presidential debate:",barely-true
7_3,Gas prices during the Obama-Biden administration were $5.49 a gallon.,Viral image,"stated on September 30, 2020 in a post on Facebook:",half-true
7_4,"“If you just count all the deaths in the red states, we are number two in the world in deaths, just behind Brazil.”",Joe Biden,"stated on September 21, 2020 in a speech:",mostly-true
7_5,"Says Joe Biden “passed a tax bill that gave us all these privileges for depreciation and for tax credits. We built a building, and we get tax credits like the hotel on Pennsylvania Ave.”",Donald Trump,"stated on September 29, 2020 in the first 2020 presidential debate:",half-true
7_6,"""Last week Joe Biden flashed the ‘white power’ sign. President Trump condemned white supremacists yesterday. Why hasn't Joe Biden?”",Donald Trump,"stated on October 1, 2020 in a tweet from @TrumpWarRoom:",pants-fire
7_7,Poll watchers in Philadelphia “were thrown out.”,Donald Trump,"stated on September 29, 2020 in a presidential debate:",false
7_8,“A federal judge just ordered Wisconsin must have all ballots counted by 8 p.m. on the day of the election.”,Facebook posts,"stated on September 28, 2020 in Facebook post:",pants-fire
7_9,"Says Joe Biden “had 308,000 military people dying because you couldn’t provide them proper healthcare in the military.”",Donald Trump,"stated on September 29, 2020 in the first 2020 presidential debate:",false
